OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal*,PUIAge_0_4*,PUIAge_5_14*,PUIAge_15_24*,PUIAge_25_34*,PUIAge_35_44*,PUIAge_45_54*,PUIAge_55_64*,PUIAge_65_74*,PUIAge_75_84*,PUIAge_85plus*,PUIAge_Unkn*,PUIAgeRange*,PUIAgeMedian*,PUIFemale*,PUIMale*,PUISexUnkn*,PUIFLRes*,PUINotFLRes*,PUIFLResOut*,PUIContNo*,PUIContUnkn*,PUIAgeAvrg*,PUITravelNo*,PUITravelYes*,PUI_TPositive*,PUI_TNegative*,PUI_TInconc*,PUI_TPending*,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,PUI_EverMon*,PUI_MonNow*,Shape__Area,Shape__Length,GlobalID,New Cases,New Negative cases,New Total Tested Today,New Percent Positivity,MedianAge
11,11,33,065,JEFFERSON,Jefferson,FL,1593,44,96,153,199,211,246,282,215,109,37,1,0 to 101,48,763,827,3,1573,20,0,58,899,41,870,32,826,764,1,2,1571,686,123,14,3,324,484,1,809,11,36,79,133,108,151,151,88,46,23,0,0 to 99,48,338,400,48,23,38,715,56,75,2,44,0,0,12,826,493,332,809,17,0,4270,1,5111,4271,826,12,699,661,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,9,132,141,0.0638297872340425,48
12,12,40,079,MADISON,Madison,FL,2754,132,310,344,332,355,388,351,294,159,81,8,0 to 101,42,1593,1156,5,2718,36,0,160,1151,53,1757,101,1392,1359,1,2,2715,922,452,16,2,784,589,1,1374,50,111,175,187,192,232,189,135,70,51,0,0 to 101,44,502,758,69,45,70,1179,125,205,1,69,2,2,28,1392,594,797,1374,18,0,5884,18,7305,5902,1392,28,1958,1861,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,14,101,115,0.121739130434783,44
13,13,39,077,LIBERTY,Liberty,FL,2720,36,78,273,724,611,454,336,131,53,15,9,0 to 105,38,473,2242,5,2719,1,0,47,1913,1,428,15,642,2075,0,3,2716,578,63,1,0,200,440,1,641,9,23,105,118,104,113,98,40,26,6,0,0 to 89,40,450,128,33,30,32,483,126,48,0,17,0,0,14,642,440,201,641,1,0,3495,0,4138,3495,642,14,756,732,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,4,31,35,0.114285714285714,40
14,14,24,047,HAMILTON,Hamilton,FL,2831,62,140,267,647,528,439,345,242,101,56,4,0 to 118,40,848,1969,14,2818,13,0,82,1932,9,1107,37,1044,1786,0,1,2818,839,196,4,5,384,650,1,1035,31,75,126,198,171,164,146,83,34,15,1,0 to 91,41,486,459,70,20,127,768,140,128,1,49,0,0,12,1044,655,388,1035,9,0,5375,3,6424,5378,1044,12,543,541,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,2,31,33,0.0606060606060606,41
15,15,3,005,BAY,Bay,FL,13340,155,512,1704,2084,2053,2189,2143,1410,721,318,51,0 to 119,45,6994,6274,72,12927,413,0,1697,5454,28,8817,389,9529,3768,1,42,12887,8920,241,359,9,4705,4418,38,9161,85,309,1371,1652,1545,1559,1450,932,463,163,0,0 to 100,43,5642,844,1025,1650,663,6415,2083,928,36,467,16,7,180,9529,4610,4880,9161,368,0,45504,51,55154,45555,9529,180,2992,2985,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,134,908,1042,0.128598848368522,43
16,16,12,023,COLUMBIA,Columbia,FL,8369,201,443,887,1192,1261,1223,1359,1006,511,275,11,0 to 119,46,3853,4462,54,8336,33,0,1097,3126,63,5157,72,5055,3307,0,7,8329,4555,480,17,3,1928,3099,8,5035,80,221,597,835,865,812,744,517,271,110,3,0 to 102,44,3132,1407,227,269,293,4341,401,178,2,323,3,0,103,5055,3112,1935,5035,20,0,17734,13,22859,17747,5055,103,1921,1920,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,24,273,297,0.0808080808080808,43
17,17,2,003,BAKER,Baker,FL,3566,82,196,507,627,602,559,492,287,151,61,2,0 to 103,40,1648,1902,16,3503,63,0,408,1657,16,1606,53,2164,1366,0,36,3467,1754,400,5,5,833,1321,0,2154,15,67,274,423,425,366,305,172,82,35,0,0 to 103,41,1230,269,75,580,22,1385,747,194,0,118,0,0,34,2164,1326,838,2154,10,0,8585,50,10827,8635,2164,34,2747,2746,1520245937.66486,183737.354704368,393e3bc9-079e-4ad6-9162-d77ee72feb59,18,156,174,0.103448275862069,41
18,18,30,059,HOLMES,Holmes,FL,2389,37,178,293,319,318,373,351,293,158,68,1,0 to 119,46,1281,1092,16,2358,31,0,110,995,5,1060,175,1305,1079,0,5,2353,1117,166,18,4,643,639,1,1283,15,75,172,208,188,199,184,136,86,41,1,0 to 101,44,1003,94,77,109,43,1061,179,68,0,48,0,0,17,1305,645,659,1283,22,0,5440,9,6765,5449,1305,17,1787,1781,1251550190.83949,175658.620344926,bd5e2bc2-c55e-45e6-8687-0c7528780cd1,14,40,54,0.259259259259259,43
19,19,43,085,MARTIN,Martin,FL,14290,310,786,1724,1616,1705,1931,2216,1967,1384,630,21,0 to 106,50,7361,6601,328,14130,160,0,1331,8148,82,5391,196,6761,7460,3,66,14062,6652,29,79,1,3372,3269,40,6681,126,364,1076,1018,964,1016,868,592,455,280,2,0 to 106,43,3338,320,1247,1776,1972,3047,1662,832,6,483,3,2,186,6761,3307,3414,6681,80,0,45919,78,52810,45997,6761,186,6883,6872,1686613017.08661,308980.48751506,14dc1d1d-ce53-4995-9cf2-039fe1559f59,49,558,607,0.0807248764415156,41
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,120884,3021,7036,18118,20336,17714,17875,16266,11156,5977,2833,552,0 to 119,41,65895,53688,1301,119910,974,0,10057,85060,458,30982,1056,64281,55547,19,1037,118855,62736,1017,522,6,33607,29557,589,63753,1286,3240,11850,12781,9992,9623,7316,4145,2364,1244,440,0 to 110,37,26719,7832,9503,19699,17245,25059,21449,4461,40,2377,24,7,984,64281,29791,33887,63753,528,0,403742,453,469057,404195,64281,984,34492,34147,2746844886.16013,358788.307034344,12be5e4e-9d96-4b8e-8617-77c84f3bc487,900,8654,9554,0.0942013816202638,37
21,21,41,081,MANATEE,Manatee,FL,33771,685,1677,3788,4360,4293,4652,5375,4889,2859,1076,117,0 to 119,49,18476,14896,399,33270,501,0,5660,20253,177,14276,429,18512,15218,3,38,33229,18146,106,259,1,9606,8428,218,18252,387,1166,2867,3028,2782,2711,2492,1703,945,418,13,0 to 101,41,10460,1630,2753,3409,4648,9683,3921,1017,18,1012,15,5,394,18512,8555,9732,18252,260,0,133632,267,152507,133899,18512,394,3634,3536,1945653927.12581,371198.171414394,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc,164,2487,2651,0.0618634477555639,40
